"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
4.64,0,58,-7.10898275299409,0.828309434837013
4.64,0,60,-7.00506766209717,0.513735972221175
4.64,0,62,-6.91962942442348,0.19173385807396
4.64,0,64,-6.85125625134331,-0.13745450332601
4.64,0,66,-6.79866481527277,-0.4735965393724
4.64,0,68,-6.76068643552364,-0.816469022865583
4.64,0,70,-6.73625571699529,-1.16585698905163
4.64,0,72,-6.72440112521322,-1.52155189608803
4.64,0,74,-6.72423709700331,-1.88334883130307
4.64,0,76,-6.73495737629964,-2.25104252158945
4.64,0,78,-6.75582933518487,-2.62442185558709
4.64,0,80,-6.78618909559075,-3.00326256790821
4.64,0,82,-6.82543731037687,-3.38731767217091
4.64,0,84,-6.87303549624176,-3.77630516195596
4.64,0,86,-6.92850283707251,-4.16989243115394
4.64,0,88,-6.99141339650979,-4.56767680542008
4.64,0,90,-7.06139369401624,-4.96916153839261
4.64,0,92,-7.13812061067445,-5.37372663269169
4.64,0,94,-7.22131960018592,-5.78059393217996
4.64,0,96,-7.31076318777437,-6.18878615187165
4.64,0,98,-7.40626974541195,-6.59707994075249
4.64,0,100,-7.50770253631081,-7.00395381038596
4.64,0,102,-7.61496902513695,-7.40753292759937
4.64,0,104,-7.72802045298091,-7.80553448129854
4.64,0,106,-7.8468516777667,-8.19521966334494
4.64,0,108,-7.97150128149158,-8.57336119103865
4.64,0,110,-8.10205194549583,-8.93623842075371
4.64,0,112,-8.23863109398691,-9.27967471527047
4.64,0,114,-8.38141180454011,-9.59913255556032
4.64,0,116,-8.53061398268017,-9.88987920157549
4.64,0,118,-8.68650579649763,-10.147227789336
4.64,0,120,-8.84940536730831,-10.366844875107
4.64,0,122,-9.0196827144838,-10.5450971420262
4.64,0,124,-9.19776195769831,-10.6793919203572
4.64,0,126,-9.38412378888566,-10.7684554013663
4.64,0,128,-9.57930824004685,-10.8124955768211
4.64,0,130,-9.78391779242646,-10.8132162101724
4.64,0,132,-9.99862089803718,-10.7736787888069
4.64,0,134,-10.2241560164086,-10.6980411014129
4.64,0,136,-10.4613363079335,-10.5912229778847
4.64,0,138,-10.7110551703068,-10.4585558308667
4.64,0,140,-10.9742928562384,-10.3054639864233
4.64,0,142,-11.2521244687661,-10.1372085093807
4.64,0,144,-11.5457296949059,-9.95870556756599
4.64,0,146,-11.8564047085248,-9.77441653482798
4.64,0,148,-12.1855767477455,-9.58829807293208
4.64,0,150,-12.5348219471412,-9.40379694176268
4.64,0,152,-12.905887071791,-9.22387463969446
4.64,0,154,-13.3007158402018,-9.0510493944139
4.64,0,156,-13.7214804975021,-8.88744613617498
4.64,0,158,-14.1706191315957,-8.73484805595507
4.64,0,160,-14.6508787596382,-8.59474579302623
4.64,0,162,-15.1653631481321,-8.46838211378152
4.64,0,164,-15.717582071055,-8.35679119281567
4.64,0,166,-16.3114940731469,-8.26083240394212
4.64,0,168,-16.9515254187898,-8.18121899536285
4.64,0,170,-17.6425289805807,-8.11854226477704
4.64,0,172,-18.3896086344431,-8.07329194780265
4.64,0,174,-19.1976576764455,-8.04587354458133
4.64,0,176,-20.0703055662716,-8.03662327385915
4.64,0,178,-21.0076680210874,-8.04582128606559
4.64,0,180,-22.0017642677572,-8.07370370184604
4.64,90.0000000000002,-180,-8.07370370184604,-22.0017642677571
4.64,90.0000000000002,-178,-8.01236524447969,-21.6041627972745
4.64,90.0000000000002,-176,-7.97827414224535,-21.3105776251515
4.64,90.0000000000002,-174,-7.97265620257315,-21.1152713627314
4.64,90.0000000000002,-172,-7.99612563143316,-21.0141906885753
4.64,90.0000000000002,-170,-8.04872561571451,-21.0048009404555
4.64,90.0000000000002,-168,-8.12995706623796,-21.085987794059
4.64,90.0000000000002,-166,-8.23879540499027,-21.2580359151561
4.64,90.0000000000002,-164,-8.37369656880077,-21.5226941553579
4.64,90.0000000000002,-162,-8.53259447390323,-21.8833437099266
4.64,90.0000000000002,-160,-8.7128932400919,-22.3452985415089
4.64,90.0000000000002,-158,-8.91145863473022,-22.9162883499369
4.64,90.0000000000002,-156,-9.12461449722942,-23.6072086057713
4.64,90.0000000000002,-154,-9.34815125011377,-24.4332792060647
4.64,90.0000000000002,-152,-9.57735473630381,-25.4158487160454
4.64,90.0000000000002,-150,-9.80706409712671,-26.5852328986366
4.64,90.0000000000002,-148,-10.0317666085885,-27.9851608144365
4.64,90.0000000000002,-146,-10.2457346662732,-29.6792591802585
4.64,90.0000000000002,-144,-10.4432050060435,-31.7569469874985
4.64,90.0000000000002,-142,-10.6185929070561,-34.3125699925233
4.64,90.0000000000002,-140,-10.7667256191639,-37.2157388280638
4.64,90.0000000000002,-138,-10.8830716745148,-39.0340779641752
4.64,90.0000000000002,-136,-10.9639387280276,-37.6591403237708
4.64,90.0000000000002,-134,-11.0066143128499,-34.9177468172761
4.64,90.0000000000002,-132,-11.0094319401293,-32.4560412017124
4.64,90.0000000000002,-130,-10.9717575664767,-30.4676798183838
4.64,90.0000000000002,-128,-10.8939050056909,-28.8602019836948
4.64,90.0000000000002,-126,-10.7769994164641,-27.5380619486124
4.64,90.0000000000002,-124,-10.6228129213799,-26.431526260285
4.64,90.0000000000002,-122,-10.4335953296607,-25.4914971959484
4.64,90.0000000000002,-120,-10.2119174856831,-24.6828268788959
4.64,90.0000000000002,-118,-9.96053752005166,-23.9796402991064
4.64,90.0000000000002,-116,-9.68229356799814,-23.3623278318695
4.64,90.0000000000002,-114,-9.38002171958894,-22.8156182254432
4.64,90.0000000000002,-112,-9.0564954127331,-22.3273219841079
4.64,90.0000000000002,-110,-8.71438177848369,-21.8874928092227
4.64,90.0000000000002,-108,-8.356210900438,-21.4878548799549
4.64,90.0000000000002,-106,-7.98435488804422,-21.1214033316398
4.64,90.0000000000002,-104,-7.60101461884358,-20.7821205383741
4.64,90.0000000000002,-102,-7.2082127381154,-20.4647719395792
4.64,90.0000000000002,-100,-6.80779195648286,-20.1647580664601
4.64,90.0000000000002,-98,-6.40141790190591,-19.8780074698825
4.64,90.0000000000002,-96,-5.99058584668574,-19.6009003328933
4.64,90.0000000000002,-94,-5.57663062423018,-19.3302157696789
4.64,90.0000000000002,-92,-5.16073903324922,-19.0630978165265
4.64,90.0000000000002,-90,-4.74396403119447,-18.7970363044986
4.64,90.0000000000002,-88,-4.32724005499804,-18.5298594250905
4.64,90.0000000000002,-86,-3.9113988725361,-18.2597350454299
4.64,90.0000000000002,-84,-3.49718545306183,-17.9851778525501
4.64,90.0000000000002,-82,-3.08527343787567,-17.7050593466304
4.64,90.0000000000002,-80,-2.67627988391569,-17.4186176887539
4.64,90.0000000000002,-78,-2.27077903566589,-17.125464546852
4.64,90.0000000000002,-76,-1.86931495063219,-16.8255864450029
4.64,90.0000000000002,-74,-1.47241285898602,-16.5193387261223
4.64,90.0000000000002,-72,-1.08058917912387,-16.2074310483497
4.64,90.0000000000002,-70,-0.694360139445128,-15.8909042611683
4.64,90.0000000000002,-68,-0.314248975016429,-15.5710994261349
4.64,90.0000000000002,-66,0.0592083212636512,-15.24962053268
4.64,90.0000000000002,-64,0.425458707042332,-14.9282930105398
4.64,90.0000000000002,-62,0.783929268127701,-14.609120401841
4.64,90.0000000000002,-60,1.13402587048597,-14.2942415260713
4.64,90.0000000000002,-58,1.47513328537035,-13.985890195288
4.64,90.0000000000002,-56,1.8066167771068,-13.6863590901937
4.64,90.0000000000002,-54,2.12782513070753,-13.3979688750788
4.64,90.0000000000002,-52,2.43809508134146,-13.1230430878301
4.64,90.0000000000002,-50,2.73675709061138,-12.8638888468858
4.64,90.0000000000002,-48,3.0231423967288,-12.6227830019888
4.64,90.0000000000002,-46,3.29659124822998,-12.4019630276151
4.64,90.0000000000002,-44,3.55646221477777,-12.2036217048814
4.64,90.0000000000002,-42,3.8021424542379,-12.0299044324287
4.64,90.0000000000002,-40,4.03305880221856,-11.8829078108524
4.64,90.0000000000002,-38,4.24868953730457,-11.7646779106057
4.64,90.0000000000002,-36,4.44857666001244,-11.6772063006716
4.64,90.0000000000002,-34,4.63233850287602,-11.6224214096146
4.64,90.0000000000002,-32,4.79968245923997,-11.6021720133342
4.64,90.0000000000002,-30,4.95041757526249,-11.6181984624163
4.64,90.0000000000002,-28,5.08446668965421,-11.6720854988081
4.64,90.0000000000002,-26,5.20187772634512,-11.7651879378253
4.64,90.0000000000002,-24,5.30283364637339,-11.8985168418484
4.64,90.0000000000002,-22,5.38766045018785,-12.0725688572387
4.64,90.0000000000002,-20,5.45683249865667,-12.2870751476745
4.64,90.0000000000002,-18,5.51097430529749,-12.5406396367333
4.64,90.0000000000002,-16,5.55085786609667,-12.8302318064865
4.64,90.0000000000002,-14,5.57739456693135,-13.1505039818061
4.64,90.0000000000002,-12,5.59162077810299,-13.4929314266932
4.64,90.0000000000002,-10,5.59467644827677,-13.844851261915
4.64,90.0000000000002,-8,5.58777637714763,-14.1886359540425
4.64,90.0000000000002,-6,5.57217439080218,-14.5014899300949
4.64,90.0000000000002,-4,5.54912134916894,-14.7566153371447
4.64,90.0000000000002,-2,5.51981872330506,-14.9264663551344
4.64,90.0000000000002,0,5.48537028890247,-14.9880762108166
4.64,90.0000000000002,2,5.44673515222856,-14.928954988386
4.64,90.0000000000002,4,5.40468570371043,-14.7508369187441
4.64,90.0000000000002,6,5.35977405387965,-14.4691527441515
4.64,90.0000000000002,8,5.31230998146441,-14.1085425532902
4.64,90.0000000000002,10,5.26235244325434,-13.6968745427877
4.64,90.0000000000002,12,5.20971539020579,-13.260323437574
4.64,90.0000000000002,14,5.15398721191415,-12.820636820768
4.64,90.0000000000002,16,5.09456182848444,-12.3943580377418
4.64,90.0000000000002,18,5.03067847132254,-11.9932322785036
4.64,90.0000000000002,20,4.96146667030709,-11.6250980784088
4.64,90.0000000000002,22,4.88599292098633,-11.2948399855485
4.64,90.0000000000002,24,4.8033058753159,-11.0052120684409
4.64,90.0000000000002,26,4.71247755402091,-10.7574802441171
4.64,90.0000000000002,28,4.61263886683714,-10.5518949329815
4.64,90.0000000000002,30,4.50300851145905,-10.3880266535037
4.64,90.0000000000002,32,4.38291500264046,-10.2649987842069
4.64,90.0000000000002,34,4.25181210393039,-10.1816462886963
4.64,90.0000000000002,36,4.10928828092165,-10.1366223929518
4.64,90.0000000000002,38,3.95507098121097,-10.128469163338
4.64,90.0000000000002,40,3.78902660405612,-10.1556632076562
4.64,90.0000000000002,42,3.61115698950301,-10.2166442426576
4.64,90.0000000000002,44,3.42159316836901,-10.3098317913822
4.64,90.0000000000002,46,3.22058700069603,-10.4336335345096
4.64,90.0000000000002,48,3.00850121327256,-10.5864476289146
4.64,90.0000000000002,50,2.78579824125462,-10.7666604648578
4.64,90.0000000000002,52,2.55302819314508,-10.9726407484094
4.64,90.0000000000002,54,2.31081619588199,-11.2027303920179
4.64,90.0000000000002,56,2.05984933749586,-11.4552324253851
4.64,90.0000000000002,58,1.8008634063087,-11.7283959739077
4.64,90.0000000000002,60,1.5346296240312,-12.0203982826552
4.64,90.0000000000002,62,1.26194158052565,-12.3293237943475
4.64,90.0000000000002,64,0.983602595105021,-12.653140437065
4.64,90.0000000000002,66,0.700413747539729,-12.9896735696988
4.64,90.0000000000002,68,0.413162836073431,-13.3365785065982
4.64,90.0000000000002,70,0.122614524757189,-13.6913132345941
4.64,90.0000000000002,72,-0.170498065936392,-14.0511138699675
4.64,90.0000000000002,74,-0.465480096181793,-14.412976568268
4.64,90.0000000000002,76,-0.761679885973957,-14.7736509135152
4.64,90.0000000000002,78,-1.0584918133456,-15.1296510776976
4.64,90.0000000000002,80,-1.35535718917414,-15.477291903263
4.64,90.0000000000002,82,-1.65176316241287,-15.8127569997068
4.64,90.0000000000002,84,-1.94723981785226,-16.1322043321425
4.64,90.0000000000002,86,-2.24135574393859,-16.431911055876
4.64,90.0000000000002,88,-2.53371246489969,-16.7084533343027
4.64,90.0000000000002,90,-2.82393824255303,-16.9589091319565
4.64,90.0000000000002,92,-3.11168185056473,-17.1810640526156
4.64,90.0000000000002,94,-3.39660699787546,-17.3735945841504
4.64,90.0000000000002,96,-3.67838811688521,-17.5362021288921
4.64,90.0000000000002,98,-3.95670822215001,-17.6696764394454
4.64,90.0000000000002,100,-4.23125947160997,-17.7758780298454
4.64,90.0000000000002,102,-4.50174690944529,-17.8576430829315
4.64,90.0000000000002,104,-4.7678956247914,-17.9186273742594
4.64,90.0000000000002,106,-5.02946121743266,-17.9631142311179
4.64,90.0000000000002,108,-5.28624302511842,-17.9958138130905
4.64,90.0000000000002,110,-5.53809905793649,-18.0216775558385
4.64,90.0000000000002,112,-5.78496104242035,-18.0457445890237
4.64,90.0000000000002,114,-6.02684745880553,-18.0730289067038
4.64,90.0000000000002,116,-6.26387202844277,-18.1084490921109
4.64,90.0000000000002,118,-6.49624484613461,-18.1567975656278
4.64,90.0000000000002,120,-6.72426331422728,-18.222743818075
4.64,90.0000000000002,122,-6.94829025900388,-18.3108655234081
