"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,1)) []","dB(S(2,1))_1 []","dB(S(2,1))_2 []","dB(S(2,1))_3 []","dB(S(2,1))_4 []"
4.4,-1.46747353587908,,-33.5605318208757,,-17.492780040358,,-32.4707262598696,
4.41,-1.55108783321625,,-33.3345762667106,,,,,
4.42,-1.64195617385676,,-33.1080558096362,,-16.4994553038103,,-31.8500749741511,
4.43,-1.7409283441166,,-32.8813944530967,,,,,
4.44,-1.84897935971705,,-32.6551006679672,,-15.5432719702417,,-31.2233233791093,
4.45,-1.96723163826579,,-32.4297827182258,,,,,
4.46,-2.09698176983086,,-32.2061668755421,,-14.6433563309365,,-30.5952019301751,
4.47,-2.23973299227523,,-31.9851190775777,,,,,
4.48,-2.39723478990972,,-31.767670686953,,-13.8225670834245,,-29.9725760881982,
4.49,-2.57153145131677,,-31.555049128486,,,,,
4.5,-2.76502198921153,,-31.3487143221191,,-13.1075746326172,,-29.3652744580788,
4.51,-2.98053460793732,,-31.1504019948815,,,,,
4.52,-3.22142000652517,,-30.9621751545293,,-12.5286761739789,,-28.7872238323709,
4.53,-3.49166938898283,,-30.7864852567283,,,,,
4.54,-3.79606538267504,,-30.6262449284764,,-12.1189460798836,,-28.257984606816,
4.55,-4.14037757388601,,-30.4849145829469,,,,,
4.56,-4.53161978499219,,-30.3666059928707,,-11.911989450364,,-27.8047976508078,
4.57,-4.97839478986974,,-30.2762070989458,,,,,
4.58,-5.4913660534623,,-30.2195344285947,,-11.9376577599004,,-27.4652927411081,
4.59,-6.08391906878871,,-30.2035232402435,,,,,
4.6,-6.7731134952023,,-30.2364722720731,,-12.2162491782416,,-27.2911583902448,
4.61,-7.58109237333157,,-30.3283723024206,,,,,
4.62,-8.53722090999147,,-30.4913703627585,,-12.7537011589239,,-27.3536421411022,
4.63,-9.68137717827202,,-30.7404635210001,,,,,
4.64,-11.0688891475435,,-31.0945961577807,,-13.5411502388534,,-27.7537082231255,
4.65,-12.7766831417597,,-31.5784926334405,,,,,
4.66,-14.9023090333318,,-32.2258875634738,,-14.5602136179186,,-28.6461785292414,
4.67,-17.4942506762182,,-33.0855642120149,,,,,
4.68,-20.0681823427148,,-34.2334962130043,,-15.7918470177943,,-30.3108718530492,
4.69,-20.5305033789241,,-35.7998361776853,,,,,
4.7,-18.2840439937388,,-38.0384250792544,,-17.224903967837,,-33.4198495874719,
4.71,-15.6175099068913,,-41.5516616362142,,,,,
4.72,-13.3931331181279,,-48.2928032034453,,-18.8611029970449,,-40.7670668115401,
4.73,-11.6321412593425,,-50.6932398985317,,,,,
4.74,-10.2431508374887,,-41.3484161814054,,-20.7129815885207,,-43.4656360688272,
