Freq_GHz,S11_dB,S21_dB,Gamma_even_mag_dB,Gamma_even_phase_deg,Gamma_odd_mag_dB,Gamma_odd_phase_deg,mag_difference_dB,phase_difference_deg,re_Gamma_even,im_Gamma_even,re_Gamma_odd,im_Gamma_odd,mesh
6.2900,-3.4761,-22.5662,-4.4853,26.504,-2.5699,24.618,-1.9154,1.886,0.533961,0.266275,0.676270,0.309881,Setup2_adaptive_5.60GHz
6.3000,-3.6606,-22.2864,-4.7209,22.598,-2.7121,20.119,-2.0089,2.478,0.536119,0.223141,0.687150,0.251726,Setup2_adaptive_5.60GHz
6.3100,-3.8671,-22.0075,-4.9805,18.579,-2.8744,15.361,-2.1062,3.217,0.534233,0.179567,0.692600,0.190271,Setup2_adaptive_5.60GHz
6.3200,-4.0988,-21.7386,-5.2642,14.457,-3.0614,10.310,-2.2028,4.147,0.528220,0.136180,0.691611,0.125808,Setup2_adaptive_5.60GHz
6.3300,-4.3586,-21.4929,-5.5701,10.245,-3.2794,4.926,-2.2907,5.319,0.518222,0.093660,0.683006,0.058867,Setup2_adaptive_5.60GHz
6.3400,-4.6502,-21.2890,-5.8928,5.955,-3.5369,-0.831,-2.3560,6.785,0.504671,0.052641,0.665443,-0.009648,Setup2_adaptive_5.60GHz
6.3500,-4.9769,-21.1519,-6.2226,1.586,-3.8455,-7.000,-2.3772,8.586,0.488317,0.013519,0.637496,-0.078278,Setup2_adaptive_5.60GHz
6.3600,-5.3424,-21.1124,-6.5447,-2.896,-4.2204,-13.614,-2.3243,10.718,0.470120,-0.023785,0.597865,-0.144793,Setup2_adaptive_5.60GHz
6.3700,-5.7499,-21.2026,-6.8414,-7.583,-4.6805,-20.683,-2.1609,13.100,0.450937,-0.060032,0.545810,-0.206059,Setup2_adaptive_5.60GHz
6.3800,-6.2023,-21.4431,-7.0977,-12.635,-5.2466,-28.189,-1.8511,15.554,0.430992,-0.096613,0.481771,-0.258207,Setup2_adaptive_5.60GHz
6.3900,-6.7013,-21.8134,-7.3084,-18.251,-5.9383,-36.089,-1.3701,17.837,0.409414,-0.135015,0.407900,-0.297324,Setup2_adaptive_5.60GHz
6.4000,-7.2478,-22.2014,-7.4802,-24.595,-6.7710,-44.344,-0.7092,19.749,0.384312,-0.175911,0.327984,-0.320555,Setup2_adaptive_5.60GHz
